---,Actor,Location,Rotation,Scale,Meshes
Row_15,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_16,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_17,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_18,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_19,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_20,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_21,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_22,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_23,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_24,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_25,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_WorldTreeDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_26,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_27,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_28,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_29,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_30,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_31,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_32,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_33,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_34,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_35,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop.BP_PalMapObjectSpawnerTreasureBox_VisibleContent_SkyIslandDrop_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_36,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_37,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Demo/ModelBP/BP_PalCutsceneCamera.BP_PalCutsceneCamera_C',"(X=33536.522397,Y=26461.256749,Z=20.000001)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_38,/Script/CoreUObject.Class'/Script/Engine.Actor',"(X=-490196.738895,Y=-45115.428637,Z=-1980.443178)","(Pitch=0.000000,Yaw=58.490249,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_39,/Script/CoreUObject.Class'/Script/Engine.Actor',"(X=-434919.000000,Y=183970.000000,Z=4192.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_40,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/Spawner/BP_MonoNPCSpawner.BP_MonoNPCSpawner_C',"(X=-761836.136790,Y=2829.912494,Z=43073.561757)","(Pitch=0.000000,Yaw=-81.826706,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_41,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/Spawner/BP_MonoNPCSpawner.BP_MonoNPCSpawner_C',"(X=-209317.053787,Y=23344.366961,Z=-1935.607617)","(Pitch=0.000000,Yaw=24.098115,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_42,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/Spawner/BP_MonoNPCSpawner.BP_MonoNPCSpawner_C',"(X=-87358.551006,Y=-3937.724189,Z=-1845.457342)","(Pitch=0.000000,Yaw=-55.490260,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_43,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/Spawner/BP_MonoNPCSpawner.BP_MonoNPCSpawner_C',"(X=15587.084967,Y=112232.961437,Z=2435.324044)","(Pitch=0.000000,Yaw=139.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_44,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/Spawner/BP_MonoNPCSpawner.BP_MonoNPCSpawner_C',"(X=15387.158610,Y=112280.533884,Z=2435.257719)","(Pitch=0.000000,Yaw=21.874997,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_45,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/Spawner/BP_MonoNPCSpawner.BP_MonoNPCSpawner_C',"(X=-16798.604369,Y=-122092.824504,Z=5875.181048)","(Pitch=0.000000,Yaw=94.999996,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_46,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/Spawner/BP_MonoNPCSpawner.BP_MonoNPCSpawner_C',"(X=-15340.335016,Y=-120630.153687,Z=6012.033533)","(Pitch=0.000000,Yaw=-107.500002,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_47,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/Spawner/BP_MonoNPCSpawner.BP_MonoNPCSpawner_C',"(X=-14110.000000,Y=-135560.000000,Z=4590.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_48,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/Spawner/BP_MonoNPCSpawner.BP_MonoNPCSpawner_C',"(X=-350489.736443,Y=-6617.205620,Z=1547.612036)","(Pitch=0.000000,Yaw=129.374999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_49,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/Spawner/BP_MonoNPCSpawner.BP_MonoNPCSpawner_C',"(X=-20307.000000,Y=-131533.000000,Z=5781.176500)","(Pitch=0.000000,Yaw=-69.687497,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_50,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/Spawner/BP_MonoNPCSpawner.BP_MonoNPCSpawner_C',"(X=21619.781371,Y=362008.741507,Z=-392.471027)","(Pitch=0.000000,Yaw=-26.961001,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_51,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/Spawner/BP_MonoNPCSpawner.BP_MonoNPCSpawner_C',"(X=-26109.558771,Y=143466.560993,Z=21902.523849)","(Pitch=0.000000,Yaw=150.517745,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_52,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/Spawner/BP_MonoNPCSpawner.BP_MonoNPCSpawner_C',"(X=-22499.851617,Y=-148555.192838,Z=2809.205570)","(Pitch=0.000000,Yaw=-130.805588,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_53,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/Spawner/BP_MonoNPCSpawner.BP_MonoNPCSpawner_C',"(X=-2013.663754,Y=-103741.832245,Z=1090.879245)","(Pitch=0.000000,Yaw=-50.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_54,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/Spawner/BP_MonoNPCSpawner.BP_MonoNPCSpawner_C',"(X=-342524.967109,Y=192873.354937,Z=-992.889461)","(Pitch=-0.000000,Yaw=135.098338,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_55,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/Spawner/BP_NPC_WalkPathPoint_1.BP_NPC_WalkPathPoint_1_C',"(X=-340674.906376,Y=191304.283422,Z=-1680.000000)","(Pitch=0.000000,Yaw=1.000000,Roll=-0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_56,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/Spawner/BP_NPC_WalkPathPoint_1.BP_NPC_WalkPathPoint_1_C',"(X=-342812.980063,Y=193458.266005,Z=-745.000000)","(Pitch=-0.000000,Yaw=-110.000002,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_57,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=1231.874466,Y=947.233915,Z=-39.875852)","(Pitch=-54.704103,Yaw=-1.102710,Roll=-18.575692)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_58,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=1101.651907,Y=-629.566669,Z=-50.959844)","(Pitch=33.127341,Yaw=-164.831014,Roll=112.988205)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_59,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=-1038.613796,Y=-1204.734802,Z=-19.815247)","(Pitch=33.008423,Yaw=-2.974033,Roll=31.343093)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_60,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=906.823874,Y=1385.813713,Z=-35.176389)","(Pitch=42.483487,Yaw=-99.613895,Roll=32.461338)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_61,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=-977.856874,Y=1931.459427,Z=-0.691309)","(Pitch=-13.499236,Yaw=-67.272677,Roll=-116.710167)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_62,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=-911.897421,Y=486.629486,Z=-0.964867)","(Pitch=1.460881,Yaw=-49.188023,Roll=140.686712)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_63,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=797.921658,Y=730.626345,Z=-10.996938)","(Pitch=35.255685,Yaw=-83.588920,Roll=-51.062264)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_64,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=1878.317118,Y=1508.998394,Z=-5.968036)","(Pitch=1.580400,Yaw=-22.801952,Roll=-54.779549)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_65,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=-854.582787,Y=-1040.503144,Z=0.441560)","(Pitch=-67.272763,Yaw=-133.093185,Roll=-142.332215)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_66,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=1008.095741,Y=1924.157381,Z=-0.691309)","(Pitch=-37.510414,Yaw=-109.596691,Roll=29.836421)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_67,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=-873.030097,Y=-609.839855,Z=-107.145108)","(Pitch=79.425745,Yaw=147.404037,Roll=171.855311)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_68,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=-107.835170,Y=532.108069,Z=-231.334718)","(Pitch=14.910550,Yaw=68.839173,Roll=-11.589203)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_69,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=-1471.665429,Y=1584.626017,Z=-214.373613)","(Pitch=-23.307495,Yaw=-39.506621,Roll=-51.136208)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_70,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=1559.619086,Y=-871.310111,Z=-98.743160)","(Pitch=24.787087,Yaw=18.266530,Roll=-45.572190)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_71,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=737.606049,Y=334.831238,Z=-32.378134)","(Pitch=48.721104,Yaw=139.718885,Roll=84.507694)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_72,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=-246.678308,Y=-2465.674935,Z=-79.712835)","(Pitch=17.239695,Yaw=-146.468139,Roll=26.439457)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_73,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=-1520.507932,Y=920.676476,Z=0.000012)","(Pitch=-64.920959,Yaw=-178.561907,Roll=-111.073236)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_74,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=-939.656853,Y=1379.326263,Z=1.531996)","(Pitch=37.969351,Yaw=70.816154,Roll=-110.964489)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_75,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=-1216.956079,Y=245.526314,Z=0.000035)","(Pitch=-87.356286,Yaw=-10.240717,Roll=-17.133822)","(X=1.000000,Y=1.000000,Z=1.000000)",""
Row_76,/Script/Engine.BlueprintGeneratedClass'/Game/Pal/Blueprint/MapObject/Spawner/BP_PalMapObjectSpawner_RockCopper.BP_PalMapObjectSpawner_RockCopper_C',"(X=310.467720,Y=1095.826149,Z=0.000035)","(Pitch=-87.791963,Yaw=-16.668706,Roll=-21.798463)","(X=1.000000,Y=1.000000,Z=1.000000)",""
