1girl, 1 девушка
phone, телефон
headphones, наушники
facial_mark, лицевая метка
cameltoe, камелтое
embarrassed, смущенный
non-web_source, не являющийся веб-источником
erection, эрекция
military_uniform, военная униформа
looking_down, смотрящий_ вниз
bottomless, бездонный
side-tie_bikini_bottom, боковая завязка_бикини снизу
no_panties, никаких трусиков
white_bikini, белый бикини
bed_sheet, простыня
abs, брюшной пресс
blue_jacket, синяя куртка
black_socks, черные носки
sunglasses, солнцезащитные очки
half-closed_eyes, полузакрытые глаза
arm_support, arm_поддержка
cum_on_body, сперма на теле
lowres, низкие уровни
pink_background, розовый фон
holding_food, хранение продуктов питания
bandages, бинты
sandals, сандалии
hood_down, капюшон_даун
pectorals, грудные мышцы
plaid_skirt, клетчатая юбка
bob_cut, короткая стрижка
no_shoes, без обуви
beach, пляж
frilled_dress, платье с оборками
happy, счастливый
back, назад
white_flower, белый цветок
short_dress, короткое платье
chair, стул
honkai_(series), хонкаи(серия)
red_dress, красное платье
black_hairband, черная лента для волос
ass_visible_through_thighs, задница, видимая сквозь бедра
dark-skinned_male, темнокожий мужчина
fire_emblem, огненная эмблема
drill_hair, сверлильный волос
thigh_boots, высокие сапоги
cat_girl, девушка-кошка
umbrella, зонтик
floral_print, цветочный принт
on_side, на_сайде
love_live!, люби_живи!
testicles, яички
white_skirt, белая юбка
female_pubic_hair, женские лобковые волосы
flying_sweatdrops, летающие сладкие капли
heart-shaped_pupils, зрачки в форме сердца
white_bow, белый лук
traditional_media, традиционные средства массовой информации
arms_behind_back, руки за спиной
groping, нащупывание
squatting, приседание
transparent_background, прозрачный фон
scan, сканировать
eating, кушающий
ring, кольцо
stuffed_toy, игрушка с начинкой
white_border, белая граница
crossed_arms, скрещенные руки
cleavage_cutout, вырез декольте
table, стол
korean_commentary, корейский комментарий
6+girls, 6+девочек
garter_straps, завязки для подвязок
wariza, вариза
demon_horns, рога демона
animated, анимированный
from_below, из_положения
obi, оби
sharp_teeth, острые зубья
standing_on_one_leg, стоять на одной ноге
portrait, портрет
bright_pupils, яркие зрачки
shirt_lift, подтяжка рубашки
headgear, головной убор
clothes_pull, тюк с одеждой
wolf_ears, волчьи уши
copyright_request, запрос на авторское право
leg_up, подъем по ноге
oral, устный
black_background, черный фон
cat, кошка
demon_girl, девушка-демон
mouth_hold, захват ртом
cardigan, кардиган
final_fantasy, финальная фантазия
wavy_mouth, волнистый рот
hakurei_reimu, хакурей_реиму
bound, связанный
helmet, шлем
tank_top, крышка резервуара
sunlight, солнечный свет
scrunchie, резинка для волос
cellphone, мобильный телефон
own_hands_together, владеть_ручьми_вместе
parody, пародия
thigh_gap, зазор между бедрами
high_ponytail, высокий конский хвост
moon, луна
trembling, дрожь
antenna_hair, усик_волосатый
magical_girl, волшебная девушка
crying, плачущий
eyepatch, повязка на глазу
hair_tubes, трубочки для волос
crossed_legs, скрещенные ноги
grass, трава
colored_inner_hair, окрашенные внутренние волосы
fox_girl, девушка-лиса
partial_commentary, частичный комментарий
frilled_sleeves, рукава с оборками
feathers, перья
frilled_skirt, юбка с оборками
backpack, рюкзак
blue_ribbon, синий гриб
bara, бара
cloudy_sky, облачный_ский
x_hair_ornament, x_украшение волос
eyes_visible_through_hair, глаза , видимые сквозь волосы
white_hat, белая шляпа
mob_cap, моб_кап
suit, подходить
furry, пушистый
red_necktie, рыжеволосая шлюшка
3boys, 3 мальчика
pink_bow, розовый бант
light_smile, легкая улыбка
skirt_lift, подтяжка юбки
black_nails, черные ногти
red_flower, красный цветок
sleeping, спящий
plant, растение
topless, с обнаженной грудью
suspenders, подтяжки
mahou_shoujo_madoka_magica, махоу_шуйо_мадока_магика
ear_piercing, прокалывание ушей
blazer, блейзер
bottle, бутылка
looking_up, ищущий
kirisame_marisa, кирисаме_мариса
denim, джинсовая ткань
1other, 1 другой
fire, огонь
motion_lines, линии движения_
couple, пара
cross, пересекать
elf, эльф
yaoi, яой
spiked_hair, колючие волосы
stuffed_animal, чучело животного
red_shirt, красная рубашка
single_hair_bun, пучок одиночных волос
white_apron, белый капрон
bug, жук
formal_clothes, официальная одежда
straddling, оседлав
?, ?
crown, корона
cover, покрытие
black_leotard, черный купальник
clenched_teeth, стиснутые зубы
grabbing_another's_breast, хватать другого за грудки
juliet_sleeves, рукава Джульетты
holding_cup, удерживающий кубок
outstretched_arms, вытянутые руки
red_bowtie, красный галстук-бабочка
horse_tail, лошадиный хвост
fellatio, минет
;d, ;d
pantyshot, съемка трусиков
light_blush, легкий румянец
t-shirt, футболка
bdsm, бдсм
tassel, кисточка
skeb_commission, skeb_комиссия
slit_pupils, щелевые зрачки
lifting_own_clothes, снимаю верхнюю одежду
sex_from_behind, секс из-за спины
game_cg, game_cg (игровой процесс)
holding_gun, удерживающий пистолет
curtains, шторы
hololive_english, hololive_английский
gem, драгоценный камень
underwear_only, только нижнее белье
robot, робот
on_stomach, on_stomach на рабочем столе
knee_boots, наколенники
shoulder_armor, наплечная броня
pointing, указывающий
outstretched_arm, вытянутая рука
girls_und_panzer, девушки_в_панцере
sneakers, кроссовки
aged_down, снижение возраста
hat_ribbon, шляпный гриб
tiara, тиара
>_<, >_<
girl_on_top, девушка на вершине
straight_hair, прямые волосы
katana, катана
knife, нож
grey_shirt, серая рубашка
sisters, сестры
crossover, кроссовер
head_wings, взмахи головой
red_footwear, красная обувь
breasts_out, выпячивание груди
variant_set, вариант_набор
white_pupils, белые зрачки
school_swimsuit, школьный спортивный костюм
black_necktie, черный шип
blue_sailor_collar, синий воротничок портного
rabbit_tail, кроличий хвост
girls'_frontline, линия фронта для девочек
animal_print, животный_принт
polka_dot, горошек
facing_viewer, лицевой экран_viewer
wing_collar, воротник_крыла
feathered_wings, оперенные крылья
multicolored_clothes, разноцветная одежда
hand_on_own_chest, раздача_в_наличии
eyewear_on_head, очки на голове
yellow_background, желтый фон
messy_hair, растрепанные волосы
short_twintails, короткие хвостики-двойняшки
fishnets, рыболовные сети
strapless_leotard, свитер без бретелек
bandaid, перевязанный пластырем
bent_over, изогнутый верх
paid_reward_available, оплаченный платеж доступен
goggles, защитные очки
kiss, целовать
monster_girl, девушка-монстр
green_skirt, зеленая юбка
nijisanji, нидзисанджи
pink_dress, розовое платье
bat_wings, крылья летучей мыши
hooded_jacket, куртка с капюшоном
black_bra, черная кобра
building, здание
extra_ears, дополнительные годы
red_background, red_background красный фон
clenched_hand, сжатая рука
skin_fang, кожный клык
tan, загар
revision, пересмотр
puffy_long_sleeves, с пышными длинными рукавами
5girls, 5 девушек
dog_ears, собачьи годы
all_fours, все_четверки
loafers, лоферы
red_jacket, красная куртка
no_pants, без штанов
demon_tail, хвост демона
staff, персонал
shaded_face, затененное лицо
brooch, брошь
honkai:_star_rail, хонкай: звездный рельс
group_sex, групповой секс
star_(sky), звезда(небо)
pink_flower, розовый цветок
undressing, раздеваясь
single_thighhigh, одиночный_высокий
red_nails, красные ногти
white_ribbon, белый гриб
hat_bow, шляпный бант
black_belt, черный пояс
crossed_bangs, перекрещенные полосы
lingerie, женское белье
striped_thighhighs, полосатые_высокие бедра
lipstick, губная помада
letterboxed, отправленный в почтовый ящик
veil, вуаль
otoko_no_ko, отоко_но_ко
bondage, бондаж
china_dress, китайское платье
towel, полотенце
instrument, инструмент
polearm, алебарда
mahou_shoujo_madoka_magica_(anime), махоу_шуджо_мадока_магика(аниме)
hair_bobbles, пучки волос
night_sky, ночной свет
knees_up, подъем на колени
cherry_blossoms, вишневые цветы
child, ребенок
armband, нарукавная повязка
scar_on_face, шрам на лице
box, коробка
wristband, браслет
steam, пар
drooling, слюнотечение
butterfly, бабочка
revealing_clothes, обнажающая одежда
crescent, полумесяц
ribbon_trim, ленточный край
light_particles, легкие частицы
hair_over_shoulder, волосы на плечах
wind, ветер
foreshortening, ракурс
candy, конфета
outside_border, внешняя граница
smartphone, смартфон
highleg_leotard, высококлассный_леотард
pale_skin, бледная кожа
surprised, удивленный
remilia_scarlet, ремилия_скарлет
couch, диван
precure, предварительное лечение
flandre_scarlet, фландр_скарлет
^^^, ^^^
meme, мем
claws, когти
scenery, пейзаж
musical_note, музыкальная заметка
black_coat, черное пальто
side_braid, боковая граница
anal, анал
multiple_tails, множественные хвосты
adapted_costume, адаптированный костюм
character_request, символьный запрос
low_ponytail, низкий хвост
sheath, ножны
rope, веревка
anger_vein, гнев_вейна
sex_toy, сексуальная игрушка
danganronpa_(series), данганронпа(серия)
..., ...
strapless_dress, платье без бретелек
lace_trim, кружевной край
mole_under_mouth, крот_под_ратом
gauntlets, перчатки
toenails, ногти на ногах
bike_shorts, велосипедные шорты
microphone, микрофон
arms_behind_head, руки за спиной
pelvic_curtain, тазовая занавеска
kemono_friends, друзья кемоно_
grey_skirt, серая юбка
beard, борода
baseball_cap, бейсбольная кепка
breast_press, давление на грудь
holding_phone, удерживающий телефон
white_sailor_collar, белый воротничок портного
white_pantyhose, белый чулок
ejaculation, семяизвержение
white_sleeves, белые рукава
large_pectorals, большие зеркала
casual, повседневная
red_neckerchief, красный шейный платок
hakama, хакама
index_finger_raised, указательный палец поднят
hood_up, обманщик
nature, природа
between_breasts, между грудями
waist_apron, поясной капрон
genderswap, изменение пола
cloak, плащ
cropped_jacket, обрезанный жакет
breath, дыхание
purple_dress, пурпурное платье
wet_clothes, мокрая одежда
gundam, гандам
dot_nose, точечный нос
web_address, веб-адрес
bridal_gauntlets, свадебные перчатки
panty_pull, трусики -стринги
pink_panties, розовые трусики
maid_apron, горничная_апрон
male_pubic_hair, мужские лобковые волосы
cover_page, обложка_страницы
cropped_legs, обрезанные ножки
logo, логотип
granblue_fantasy, granblue_фантазия
blue_nails, синие ногти
interlocked_fingers, сцепленные пальцы
twin_drills, двойные сверла
string_bikini, стринг_бикини
sleeves_past_fingers, рукавы_пасты_пальцы
bad_link, плохая ссылка
buckle, пряжка
eyeshadow, тени для век
pink_nails, розовые ногти
hand_on_own_face, рука на опущенном лице
outline, контур
pom_pom_(clothes), pom_pom_(одежда)
alternate_breast_size, альтернативный размер_брюшины
o-ring, уплотнительное кольцо
short_hair_with_long_locks, короткие волосы с длинными прядями
third_eye, третий глаз
close-up, крупный план
yellow_bow, желтый лук
semi-rimless_eyewear, верхняя одежда без оправы
izayoi_sakuya, изайои сакуя
skirt_set, комплект юбок
covering_privates, покрывающие_приваты
areola_slip, ареола_слип
facial, лицевой
blue_necktie, голубоглазый
spoken_heart, говорящее сердце
glowing_eyes, светящиеся глаза
androgynous, андрогинный
peaked_cap, остроконечный колпачок
blouse, блузка
jojo_no_kimyou_na_bouken, джоджо_но_кимью_на_букен
gold_trim, золотой край
eye_contact, зрительный контакт
motor_vehicle, моторно-транспортное средство
colored_sclera, цветной_склер
neck_bell, шейный колокольчик
breasts_apart, раздел груди
carrying, перевозка
holding_book, удерживающий_бук
plate, тарелка
black_wings, черные крылья
patreon_username, имя пользователя patreon_
two-tone_background, двухцветный фон
jingle_bell, звенящий колокольчик
faceless, безликий
forehead, лоб
curvy, изогнутый
tearing_up, разрывающий
corset, корсет
video, видео
clothes_writing, одежда для письма
brown_gloves, коричневые перчатки
angry, сердитый
clothing_aside, одежда на стороне
dragon_horns, драконьи рога
christmas, рождество
hand_fan, ручной вентилятор
single_earring, одиночное обучение
open_coat, открытое покрытие
camisole, камзол
red_gloves, красные перчатки
micro_bikini, микро_бикини
blue_flower, синий цветок
cropped_torso, обрезанный торсо
spikes, шипы
restrained, сдержанный
mecha, механизм
wolf_tail, волчий хвост
hair_flaps, хлопья по волосам
arm_at_side, рука на внутренней стороне
blue_shorts, синие шорты
black_vest, черный вест
round_eyewear, круглая одежда для глаз
striped_panties, трусики в полоску
green_background, зеленый фон
low-tied_long_hair, низко завязанные длинные волосы
pink_shirt, розовая_рубашка
pink_ribbon, розовый гриб
mixed-language_commentary, смешанный языковой комментарий
bow_panties, трусики-бантики
science_fiction, научная фантастика
second-party_source, источник второй стороны
front-tie_top, передняя панель-tie_top
side_slit, боковая прорезь
hair_rings, кольца для волос
blue_bikini, синий бикини
white_skin, белая кожа
convenient_censoring, удобная цензура
side-tie_panties, трусики с завязками по бокам
licking, лижущий
paizuri, пайзури
demon_wings, крылья демона
floating, плавающий
black_sailor_collar, черный воротничок портного
happy_birthday, с днем рождения
brown_background, коричневый фон
smoke, дым
purple_background, пурпурный фон
rifle, винтовка
armlet, браслет на руку
tentacles, щупальца
pink_skirt, розовая юбка
sweater_vest, свитер_вест
veins, вены
clenched_hands, сжатые руки
frilled_apron, оборка из капрона
:<, :<
tsurime, цуриме
desk, письменный стол
single_glove, одиночная любовь
green_bow, зеленый лук
cum_on_breasts, сперма на грудях
knee_up, подъем на колени
zipper, молния
skin_tight, облегающий кожу
freckles, веснушки
high_collar, высокий воротничок
full_moon, полнолуние
mary_janes, мэри_джанес
drinking_glass, бокал для питья
ball, мяч
sleeves_rolled_up, рукава закатаны
spot_color, точечный цвет
indie_virtual_youtuber, инди-виртуальный ютубер
cowgirl_position, позиция ковбойшколы
:p, :p
white_pants, белые брюки
topless_male, мужчина без топлаша
pocket, карман
snow, снег
beads, бисер
hair_scrunchie, скручивание волос
dual_persona, двойственная личность
one_eye_covered, один_глаз_покрыт
yellow_shirt, желтая_рубашка
dragon_girl, девушка-дракон
lace, кружево
frilled_shirt_collar, воротник с оборкой на рубашке
finger_to_mouth, палец в рот
official_alternate_hairstyle, официальная прическа
wide_hips, широкий_хипс
gift, подарок
lens_flare, вспышка объектива
half_updo, половинное обновление
no_headwear, без головной одежды
track_jacket, трек -лист_jacket
pencil_skirt, юбка-карандаш
strap_slip, страп_слип
vertical-striped_clothes, одежда в вертикальную полоску
high_heel_boots, ботинки на высоком каблуке
hakama_skirt, хакамада в юбке
black_bowtie, черная бабочка
toned, тонированный
genderswap_(mtf), гендерный разброс(mtf)
handgun, пистолет
green_jacket, зеленая куртка
clothed_female_nude_male, одетая по-женски, одетая по-мужски
fate/stay_night, судьба/stay_night
artoria_pendragon_(fate), артория_пендрагон_(судьба)
!, !
cake, торт
purple_bow, пурпурный лук
admiral_(kancolle), адмирал(канколле)
seiza, сейза
heavy_breathing, тяжелое дыхание
blue_footwear, синяя обувь
tokin_hat, токин_хат
starry_sky, звездный_ский
walking, ходьба
bikini_top_only, бикини_топ_онли
after_sex, после секса
single_horn, одиночный рог
arm_behind_back, рука за спиной
idolmaster_shiny_colors, мастер идолов_шини_цветов
white_coat, белое покрытие
asymmetrical_legwear, асимметричная легкая одежда
wading, пробирающийся
reflection, отражение
mature_male, зрелый мужчина
high-waist_skirt, юбка с завышенной талией
fish, рыба
green_dress, зеленое платье
angel_wings, крылья ангела
between_legs, между ногами
furrowed_brow, нахмуренная бровь
robe, халат
alcohol, алкоголь
grey_jacket, серая куртка
frilled_bikini, бикини с оборками
duplicate, дубликат
handjob, мастурбирует
mole_on_breast, родинка на груди
clothed_sex, одетый_секс
brown_jacket, коричневая куртка
tareme, тареме
idolmaster_(classic), мастер идолов(классика)
masturbation, мастурбация
black-framed_eyewear, верхняя одежда в черной оправе
tray, лоток
ribbed_sweater, полосатый свитер
check_translation, проверка перевода
cross-laced_footwear, обувь с перекрестной шнуровкой
personification, олицетворение
swim_ring, кольцо для плавания
pendant, кулон
blood_on_face, кровь на лице
headset, наушники
crying_with_eyes_open, плачущий с открытыми глазами
forest, лес
spoilers, спойлеры
brown_pantyhose, коричневая панталона
puffy_nipples, пухлые сосочки
long_skirt, длинная юбка
kemonomimi_mode, кемономимный_режим
kochiya_sanae, кочия_санае
pouch, сумка
arm_behind_head, рука за спиной
furry_female, пушистая женщина
long_fingernails, длинные ногти на пальцах
white_wings, белые крылья
turtleneck_sweater, свитер с высоким воротом
konpaku_youmu, конпаку_юму
sailor_dress, матросская одежда
santa_hat, санта-Клаус
goggles_on_head, изумленные взгляды на голове
age_difference, разница в возрасте
komeiji_koishi, комейджи койши
legs_up, ноги вверх
halloween, хэллоуин
love_live!_school_idol_project, люби_живи!_школьный_идольский_проект
partially_submerged, частично погруженный
@_@, @_@
purple_skirt, фиолетовая юбка
black_sleeves, черные рукава
alice_margatroid, алиса маргатроид
cirno, чирно
bulge, выпуклость
rain, дождь
white_shorts, белые шорты
crossdressing, кроссдрессинг
patchouli_knowledge, пачули_знание
spoken_ellipsis, произнесенный эллипсис
one_piece, один_штучный
raised_eyebrows, приподнятые брови
red_hat, красная шляпа
short_ponytail, короткий хвостик
curly_hair, вьющиеся волосы
one-hour_drawing_challenge, одночасовой розыгрыш
jitome, джитоме
hand_in_pocket, рука в кармане
hand_in_own_hair, взлохмаченные волосы
green_shirt, зеленая рубашка
backlighting, подсветка
white_hairband, белая лента для волос
legs_apart, раздел ног
brown_skirt, коричневая юбка
hand_on_another's_head, рука на чужой голове
yellow_flower, желтый цветок
mature_female, зрелая женщина
fake_tail, фальшивый хвост
bubble, пузырь
condom, презерватив
persona, личность
thong, ремень
red_bikini, красный бикини
futanari, футанари
out_of_frame, выход из_фрейма
thought_bubble, мысленный пузырь
cuffs, манжеты
cigarette, сигарета
animal_hands, руки животного
denim_shorts, джинсовые шорты
white_bra, белая кобра
empty_eyes, пустые глаза
unworn_headwear, неношеная головная одежда
yellow_ribbon, желтый_ребенок
upskirt, верхняя юбка
star_hair_ornament, звездное украшение для волос
faceless_male, безликий мужчина
top_hat, топ_хат
blue_pants, синие штаны
dress_lift, платье с подтяжкой
belt_buckle, пряжка для ремня
blue_hat, синяя шляпа
pauldrons, наплечники
